c3.2xlarge,8,15,160,High,$0.11 ,74%,$0.67 ,$0.01 ,$7.17
c3.4xlarge,16,30,320,High,$0.30 ,64%,$0.95 ,$0.02 ,$10.11
c3.8xlarge,32,60,640,10 Gigabit,$0.44 ,74%,$0.69 ,$0.01 ,$7.34
c3.large,2,3.75,32,Moderate,$0.02 ,85%,$0.49 ,$0.01 ,$4.21
c3.xlarge,4,7.5,80,Moderate,$0.04 ,79%,$0.55 ,$0.01 ,$5.81
c4.2xlarge,8,15,0,High,$0.10 ,74%,#DIV/0!,$0.01 ,$6.85
c4.4xlarge,16,30,0,High,$0.19 ,76%,#DIV/0!,$0.01 ,$6.43
c4.8xlarge,36,60,0,10 Gigabit,$0.43 ,73%,#DIV/0!,$0.01 ,$7.20
c4.large,2,3.75,0,Moderate,$0.02 ,76%,#DIV/0!,$0.01 ,$6.53
c4.xlarge,4,7.5,0,High,$0.05 ,74%,#DIV/0!,$0.01 ,$6.87
cc2.8xlarge,32,60.5,3360,10 Gigabit,$0.31 ,85%,$0.09 ,$0.01 ,$5.04
cg1.4xlarge,16,22,1680,10 Gigabit,$21 ,0%,$12.50 ,$1.31 ,$954.55
cr1.8xlarge,32,244,240,10 Gigabit,$0.59 ,83%,$2.44 ,$0.02 ,$2.40
d2.2xlarge,8,61,12288,High,$0.15 ,89%,$0.01 ,$0.02 ,$2.41
d2.4xlarge,16,122,24576,High,$0.49 ,82%,$0.02 ,$0.03 ,$4.01
d2.8xlarge,36,244,49152,10 Gigabit,$1.21 ,78%,$0.02 ,$0.03 ,$4.95
d2.xlarge,4,30.5,4096,Moderate,$0.16 ,77%,$0.04 ,$0.04 ,$5.22
f1.16xlarge,64,976,3760,20 Gigabit,$1.32 ,90%,$0.35 ,$0.02 ,$1.35
f1.2xlarge,8,122,470,Up to 10 Gigabit,$0.17 ,90%,$0.36 ,$0.02 ,$1.39
g2.2xlarge,8,15,60,High,$0.44 ,32%,$7.36 ,$0.06 ,$29.42
g2.8xlarge,32,60,240,10 Gigabit,$4 ,0%,$16.67 ,$0.13 ,$66.67
hi1.4xlarge,16,60.5,2048,10 Gigabit,$0.21 ,93%,$0.10 ,$0.01 ,$3.40
i2.2xlarge,8,61,1600,High,$0.17 ,90%,$0.11 ,$0.02 ,$2.84
i2.4xlarge,16,122,3200,High,$0.61 ,82%,$0.19 ,$0.04 ,$5.03
i2.8xlarge,32,244,6400,10 Gigabit,$2.11 ,69%,$0.33 ,$0.07 ,$8.64
i2.xlarge,4,30.5,800,Moderate,$0.09 ,90%,$0.11 ,$0.02 ,$2.89
i3.16xlarge,64,488,15200,20 Gigabit,$1.32 ,74%,$0.09 ,$0.02 ,$2.70
i3.2xlarge,8,61,1900,Up to 10 Gigabit,$0.14 ,78%,$0.07 ,$0.02 ,$2.30
i3.4xlarge,16,122,3800,Up to 10 Gigabit,$0.24 ,81%,$0.06 ,$0.02 ,$1.97
i3.8xlarge,32,244,7600,10 Gigabit,$0.56 ,78%,$0.07 ,$0.02 ,$2.30
i3.large,2,15.25,475,Up to 10 Gigabit,$0.02 ,89%,$0.04 ,$0.01 ,$1.17
i3.xlarge,4,30.5,950,Up to 10 Gigabit,$0.05 ,85%,$0.05 ,$0.01 ,$1.57
m3.2xlarge,8,30,80,High,$0.13 ,76%,$1.57 ,$0.02 ,$4.17
m3.large,2,7.5,32,Moderate,$0.03 ,79%,$0.88 ,$0.01 ,$3.73
m3.medium,1,3.75,4,Moderate,$0.01 ,78%,$3.65 ,$0.01 ,$3.89
m3.xlarge,4,15,40,High,$0.05 ,82%,$1.21 ,$0.01 ,$3.23
m4.10xlarge,40,160,0,10 Gigabit,$0.72 ,67%,#DIV/0!,$0.02 ,$4.50
m4.16xlarge,64,256,0,20 Gigabit,$0.84 ,76%,#DIV/0!,$0.01 ,$3.29
m4.2xlarge,8,32,0,High,$0.13 ,71%,#DIV/0!,$0.02 ,$3.97
m4.4xlarge,16,64,0,High,$0.25 ,71%,#DIV/0!,$0.02 ,$3.84
m4.large,2,8,0,Moderate,$0.03 ,74%,#DIV/0!,$0.01 ,$3.55
m4.xlarge,4,16,0,High,$0.07 ,69%,#DIV/0!,$0.02 ,$4.11
p2.16xlarge,64,732,0,20 Gigabit,$3.50 ,76%,#DIV/0!,$0.05 ,$4.78
p2.8xlarge,32,488,0,10 Gigabit,$2 ,72%,#DIV/0!,$0.06 ,$4.10
p2.xlarge,4,61,0,High,$0.16 ,83%,#DIV/0!,$0.04 ,$2.54
r3.2xlarge,8,61,160,High,$0.18 ,72%,$1.16 ,$0.02 ,$3.03
r3.4xlarge,16,122,320,High,$0.70 ,47%,$2.19 ,$0.04 ,$5.74
r3.8xlarge,32,244,640,10 Gigabit,$0.62 ,77%,$0.96 ,$0.02 ,$2.52
r3.large,2,15,32,Moderate,$0.03 ,81%,$0.99 ,$0.02 ,$2.11
r3.xlarge,4,30.5,80,Moderate,$0.05 ,85%,$0.63 ,$0.01 ,$1.66
r4.16xlarge,64,488,0,20 Gigabit,$1.19 ,72%,#DIV/0!,$0.02 ,$2.45
r4.2xlarge,8,61,0,Up to 10 Gigabit,$0.06 ,88%,#DIV/0!,$0.01 ,$1.06
r4.4xlarge,16,122,0,Up to 10 Gigabit,$0.24 ,77%,#DIV/0!,$0.02 ,$1.97
r4.8xlarge,32,244,0,10 Gigabit,$0.45 ,79%,#DIV/0!,$0.01 ,$1.84
r4.large,2,15.25,0,Up to 10 Gigabit,$0.02 ,85%,#DIV/0!,$0.01 ,$1.29
r4.xlarge,4,30.5,0,Up to 10 Gigabit,$0.04 ,85%,#DIV/0!,$0.01 ,$1.31
x1.16xlarge,64,976,1960,10 Gigabit,$0.75 ,89%,$0.38 ,$0.01 ,$0.76
x1.32xlarge,128,1952,3920,20 Gigabit,$3.68 ,72%,$0.94 ,$0.03 ,$1.88
