c1.medium,2,1.7,80%,Low,Low
c1.xlarge,8,7,78%,Low,Low
c3.2xlarge,8,15,74%,Low,Low
c3.8xlarge,32,60,71%,Low,High
c3.large,2,3.75,84%,Low,Medium
c3.xlarge,4,7.5,79%,Low,Medium
c4.2xlarge,8,15,73%,Low,Medium
c4.large,2,3.75,74%,Low,Medium
c4.xlarge,4,7.5,73%,Low,High
cc2.8xlarge,32,60.5,84%,Low,Medium
d2.8xlarge,36,244,77%,Low,Medium
f1.2xlarge,8,122,87%,Low,Low
i2.2xlarge,8,61,86%,Low,Medium
i2.4xlarge,16,122,85%,Low,High
i2.xlarge,4,30.5,88%,Low,Low
i3.large,2,15.25,80%,Low,Low
i3.xlarge,4,30.5,75%,Low,High
m1.large,2,7.5,87%,Low,Low
m1.medium,1,3.75,86%,Low,Low
m1.small,1,1.7,80%,Low,Low
m1.xlarge,4,15,86%,Low,Low
m2.2xlarge,4,34.2,81%,Low,Low
m2.4xlarge,8,68.4,90%,Low,Low
m2.xlarge,2,17.1,91%,Low,Low
m3.large,2,7.5,78%,Low,Medium
m3.medium,1,3.75,81%,Low,Medium
m3.xlarge,4,15,81%,Low,Medium
m4.16xlarge,64,256,72%,Low,Medium
m4.2xlarge,8,32,65%,Low,Low
m4.large,2,8,68%,Low,Medium
m4.xlarge,4,16,63%,Low,Medium
r3.large,2,15.25,78%,Low,Low
r3.xlarge,4,30.5,81%,Low,Medium
r4.large,2,15.25,78%,Low,Low
t1.micro,1,0.613,77%,Low,Medium
x1.16xlarge,64,976,77%,Low,High
c3.4xlarge,16,30,60%,Medium,Medium
c4.4xlarge,16,30,69%,Medium,Medium
cr1.8xlarge,32,244,62%,Medium,High
d2.2xlarge,8,61,78%,Medium,Medium
d2.4xlarge,16,122,79%,Medium,High
d2.xlarge,4,30.5,48%,Medium,Medium
f1.16xlarge,64,976,0%,Medium,High
hi1.4xlarge,16,60.5,81%,Medium,Medium
i2.8xlarge,32,244,59%,Medium,High
i3.4xlarge,16,122,66%,Medium,High
m3.2xlarge,8,30,70%,Medium,Low
m4.10xlarge,40,160,38%,Medium,High
m4.4xlarge,16,64,65%,Medium,Medium
p2.xlarge,4,61,76%,Medium,Medium
r4.16xlarge,64,488,14%,Medium,Low
r4.2xlarge,8,61,78%,Medium,Medium
r4.4xlarge,16,122,59%,Medium,Medium
r4.xlarge,4,30.5,80%,Medium,Medium
x1.32xlarge,128,1952,65%,Medium,High
c4.8xlarge,36,60,65%,High,Medium
cg1.4xlarge,16,22.5,0%,High,High
g2.2xlarge,8,15,50%,High,High
g2.8xlarge,32,60,0%,High,High
i3.16xlarge,64,488,67%,High,High
i3.2xlarge,8,61,64%,High,High
i3.8xlarge,32,244,28%,High,High
p2.16xlarge,64,732,0%,High,High
p2.8xlarge,32,488,0%,High,High
r3.2xlarge,8,61,61%,High,High
r3.4xlarge,16,122,0%,High,High
r3.8xlarge,32,244,44%,High,High
r4.8xlarge,32,244,60%,High,Medium